"","quantity","truth","N","ICC","rsr","assumed","estimator","value"
"218","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","Gaussian","PM",0.194469300742031
"219","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","Gaussian","CB",0.0601330566605093
"220","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","Gaussian","GR",0.0711015276123834
"221","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","T","ML",0.323227131103168
"222","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","T","PM",0.1804509206243
"223","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","T","CB",0.0557636575012383
"224","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","T","GR",0.0643291629240263
"225","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","DP-diffuse","ML",0.323227131103168
"226","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","DP-diffuse","PM",0.124545670582989
"227","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","DP-diffuse","CB",0.105444215000074
"228","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","DP-diffuse","GR",0.0954616341528062
"229","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","Gaussian","ML",0.342679345887995
"230","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","Gaussian","PM",0.153726032521654
"231","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","Gaussian","CB",0.0539034309327399
"232","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","Gaussian","GR",0.0591905436904012
"233","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","T","ML",0.342679345887995
"234","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","T","PM",0.15431601087554
"235","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","T","CB",0.0562469306308201
"236","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","T","GR",0.0609115053784726
"237","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","DP-diffuse","ML",0.342679345887995
"238","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","DP-diffuse","PM",0.128499722783149
"239","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","DP-diffuse","CB",0.0906939938124674
"240","ISEL","Gaussian","N = 100","ICC = 0.1","R = 5","DP-diffuse","GR",0.083102578564783
"241","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","Gaussian","ML",0.356328947276237
"242","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","Gaussian","PM",0.131566184525916
"243","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","Gaussian","CB",0.0427792672097187
"244","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","Gaussian","GR",0.0414039211500429
"245","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","T","ML",0.356328947276237
"246","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","T","PM",0.134888325772922
"247","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","T","CB",0.0454308207608384
"248","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","T","GR",0.0442315530479587
"249","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","DP-diffuse","ML",0.356328947276237
"250","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","DP-diffuse","PM",0.115822654306677
"251","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","DP-diffuse","CB",0.0680706875757453
"252","ISEL","Gaussian","N = 100","ICC = 0.1","R = 10","DP-diffuse","GR",0.0592555871326583
"253","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","Gaussian","ML",0.0284213036935957
"254","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","Gaussian","PM",0.0332746016848812
"255","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","Gaussian","CB",0.0127312715870802
"256","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","Gaussian","GR",0.0114187899291295
"257","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","T","ML",0.0284213036935957
"258","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","T","PM",0.0364285874821249
"259","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","T","CB",0.0131724068491104
"260","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","T","GR",0.0118177192882316
"261","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","DP-diffuse","ML",0.0284213036935957
"262","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","DP-diffuse","PM",0.026774299835854
"263","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","DP-diffuse","CB",0.0128235316188969
"264","ISEL","Gaussian","N = 100","ICC = 0.5","R = 1","DP-diffuse","GR",0.0100697895137243
"265","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","Gaussian","ML",0.0366893694306681
"266","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","Gaussian","PM",0.0259243568419279
"267","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","Gaussian","CB",0.00879798894166636
"268","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","Gaussian","GR",0.00660394372048228
"269","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","T","ML",0.0366893694306681
"270","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","T","PM",0.0290923145435029
"271","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","T","CB",0.0101356628510045
"272","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","T","GR",0.00723760192338967
"273","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","DP-diffuse","ML",0.0366893694306681
"274","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","DP-diffuse","PM",0.0247014581084574
"275","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","DP-diffuse","CB",0.011072340526217
"276","ISEL","Gaussian","N = 100","ICC = 0.5","R = 5","DP-diffuse","GR",0.00859529192126618
