"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"220","Gaussian","N = 25","ICC = 0.1","R = 10","T","GR","0.25",0.2436,-0.0064
"221","Gaussian","N = 25","ICC = 0.1","R = 10","T","GR","0.5",0.5152,0.0152
"222","Gaussian","N = 25","ICC = 0.1","R = 10","T","GR","0.75",0.7804,0.0304
"223","Gaussian","N = 25","ICC = 0.1","R = 10","T","GR","0.9",0.9084,0.0084
"224","Gaussian","N = 25","ICC = 0.1","R = 10","T","GR","0.95",0.9424,-0.0076
"225","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","ML","0.05",0.2876,0.2376
"226","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","ML","0.1",0.3348,0.2348
"227","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","ML","0.25",0.4068,0.1568
"228","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","ML","0.5",0.4944,-0.0056
"229","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","ML","0.75",0.5932,-0.1568
"230","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","ML","0.9",0.6748,-0.2252
"231","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","ML","0.95",0.716,-0.234
"232","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","PM","0.05",0.024,-0.026
"233","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","PM","0.1",0.0644,-0.0356
"234","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","PM","0.25",0.2308,-0.0192
"235","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","PM","0.5",0.5272,0.0272
"236","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","PM","0.75",0.802,0.052
"237","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","PM","0.9",0.96,0.06
"238","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","PM","0.95",0.9796,0.0296
"239","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","CB","0.05",0.1256,0.0756
"240","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","CB","0.1",0.188,0.088
"241","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","CB","0.25",0.3256,0.0756
"242","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","CB","0.5",0.5152,0.0152
"243","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","CB","0.75",0.7,-0.05
"244","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","CB","0.9",0.841600000000001,-0.0584
"245","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","CB","0.95",0.8992,-0.0508
"246","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","GR","0.05",0.118,0.068
"247","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","GR","0.1",0.178,0.078
"248","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","GR","0.25",0.3128,0.0628
"249","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","GR","0.5",0.5176,0.0176
"250","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","GR","0.75",0.7168,-0.0332
"251","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","GR","0.9",0.8428,-0.0572
"252","Gaussian","N = 25","ICC = 0.1","R = 10","DP-diffuse","GR","0.95",0.8936,-0.0564
"253","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","ML","0.05",0.1284,0.0784
"254","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","ML","0.1",0.1856,0.0856
"255","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","ML","0.25",0.3308,0.0808
