"","truth","N","ICC","rsr","assumed","df","fname","dg_name"
"206","T",50,0.9,1,"T",5,"T_50_0.9_1_T","T_50_0.9_1"
"207","T",50,0.9,1,"DP-diffuse",5,"T_50_0.9_1_DP-diffuse","T_50_0.9_1"
"208","T",50,0.9,1,"DP-EB",5,"T_50_0.9_1_DP-EB","T_50_0.9_1"
"209","T",50,0.9,5,"Gaussian",5,"T_50_0.9_5_Gaussian","T_50_0.9_5"
"210","T",50,0.9,5,"T",5,"T_50_0.9_5_T","T_50_0.9_5"
"211","T",50,0.9,5,"DP-diffuse",5,"T_50_0.9_5_DP-diffuse","T_50_0.9_5"
"212","T",50,0.9,5,"DP-EB",5,"T_50_0.9_5_DP-EB","T_50_0.9_5"
"213","T",50,0.9,10,"Gaussian",5,"T_50_0.9_10_Gaussian","T_50_0.9_10"
"214","T",50,0.9,10,"T",5,"T_50_0.9_10_T","T_50_0.9_10"
"215","T",50,0.9,10,"DP-diffuse",5,"T_50_0.9_10_DP-diffuse","T_50_0.9_10"
"216","T",50,0.9,10,"DP-EB",5,"T_50_0.9_10_DP-EB","T_50_0.9_10"
"217","T",100,0.1,1,"Gaussian",5,"T_100_0.1_1_Gaussian","T_100_0.1_1"
"218","T",100,0.1,1,"T",5,"T_100_0.1_1_T","T_100_0.1_1"
"219","T",100,0.1,1,"DP-diffuse",5,"T_100_0.1_1_DP-diffuse","T_100_0.1_1"
"220","T",100,0.1,1,"DP-EB",5,"T_100_0.1_1_DP-EB","T_100_0.1_1"
"221","T",100,0.1,5,"Gaussian",5,"T_100_0.1_5_Gaussian","T_100_0.1_5"
"222","T",100,0.1,5,"T",5,"T_100_0.1_5_T","T_100_0.1_5"
"223","T",100,0.1,5,"DP-diffuse",5,"T_100_0.1_5_DP-diffuse","T_100_0.1_5"
"224","T",100,0.1,5,"DP-EB",5,"T_100_0.1_5_DP-EB","T_100_0.1_5"
"225","T",100,0.1,10,"Gaussian",5,"T_100_0.1_10_Gaussian","T_100_0.1_10"
"226","T",100,0.1,10,"T",5,"T_100_0.1_10_T","T_100_0.1_10"
"227","T",100,0.1,10,"DP-diffuse",5,"T_100_0.1_10_DP-diffuse","T_100_0.1_10"
"228","T",100,0.1,10,"DP-EB",5,"T_100_0.1_10_DP-EB","T_100_0.1_10"
"229","T",100,0.5,1,"Gaussian",5,"T_100_0.5_1_Gaussian","T_100_0.5_1"
"230","T",100,0.5,1,"T",5,"T_100_0.5_1_T","T_100_0.5_1"
"231","T",100,0.5,1,"DP-diffuse",5,"T_100_0.5_1_DP-diffuse","T_100_0.5_1"
"232","T",100,0.5,1,"DP-EB",5,"T_100_0.5_1_DP-EB","T_100_0.5_1"
"233","T",100,0.5,5,"Gaussian",5,"T_100_0.5_5_Gaussian","T_100_0.5_5"
"234","T",100,0.5,5,"T",5,"T_100_0.5_5_T","T_100_0.5_5"
"235","T",100,0.5,5,"DP-diffuse",5,"T_100_0.5_5_DP-diffuse","T_100_0.5_5"
"236","T",100,0.5,5,"DP-EB",5,"T_100_0.5_5_DP-EB","T_100_0.5_5"
"237","T",100,0.5,10,"Gaussian",5,"T_100_0.5_10_Gaussian","T_100_0.5_10"
"238","T",100,0.5,10,"T",5,"T_100_0.5_10_T","T_100_0.5_10"
"239","T",100,0.5,10,"DP-diffuse",5,"T_100_0.5_10_DP-diffuse","T_100_0.5_10"
"240","T",100,0.5,10,"DP-EB",5,"T_100_0.5_10_DP-EB","T_100_0.5_10"
"241","T",100,0.9,1,"Gaussian",5,"T_100_0.9_1_Gaussian","T_100_0.9_1"
"242","T",100,0.9,1,"T",5,"T_100_0.9_1_T","T_100_0.9_1"
"243","T",100,0.9,1,"DP-diffuse",5,"T_100_0.9_1_DP-diffuse","T_100_0.9_1"
"244","T",100,0.9,1,"DP-EB",5,"T_100_0.9_1_DP-EB","T_100_0.9_1"
"245","T",100,0.9,5,"Gaussian",5,"T_100_0.9_5_Gaussian","T_100_0.9_5"
"246","T",100,0.9,5,"T",5,"T_100_0.9_5_T","T_100_0.9_5"
